JST時刻,raw_pulse_rpm,display_rpm,速度_kmh,緯度,経度,UTC時刻
2026-05-29 13:42:30.074,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.177,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.277,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.371,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.472,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.574,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.677,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.774,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.877,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:30.976,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.079,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.182,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.283,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.384,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.491,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.681,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.885,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:31.986,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.09,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.184,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.277,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.381,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.483,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.576,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.68,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.782,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.894,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:32.989,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.093,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.194,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.273,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.374,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.487,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.58,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.683,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.784,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.889,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:33.994,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.073,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.186,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.29,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.394,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.487,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.59,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.694,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.773,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:34.883,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.059,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.098,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.175,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.278,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.382,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.496,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.572,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.674,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.775,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.875,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:35.979,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.085,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.194,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.276,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.378,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.482,0,0,0.0,0.000000,0.000000,00:00:00
2026-05-29 13:42:36.585,0,0,0.0,0.000000,0.000000,00:00:00
